:BEGIN,,,,,
日期/时间,2020/11/16 16:38,,,,
工单号: 输入,20201116D0002,,,,
 量测机台: 输入,OMM4860,,,,
 量测人: 输入,208919,,,,
Trial Number,,,,,
 机台号: 输入,431,,,,
 模具号: 输入,A,,,,
 模穴号: 输入,1,,,,
 样品号: 输入,1,,,,
2U,19.029,18.96,0.08,0.08,0.069
4,18.931,18.96,0.08,0.08,-0.029
2D,18.995,18.96,0.08,0.08,0.035
7,105.617,105.54,0.1,0.1,0.077
14,5.292,5.27,0.05,0.05,0.022
16,6.895,6.87,0.05,0.05,0.025
10,12.152,12.13,0.05,0.05,0.022
:END,,,,,
:BEGIN,,,,,
日期/时间,2020/11/16 16:41,,,,
工单号: 输入,20201116D0002,,,,
 量测机台: 输入,OMM4860,,,,
 量测人: 输入,208919,,,,
Trial Number,,,,,
 机台号: 输入,431,,,,
 模具号: 输入,A,,,,
 模穴号: 输入,1,,,,
 样品号: 输入,2,,,,
2U,19.029,18.96,0.08,0.08,0.069
4,18.931,18.96,0.08,0.08,-0.029
2D,18.995,18.96,0.08,0.08,0.035
7,105.617,105.54,0.1,0.1,0.077
14,5.292,5.27,0.05,0.05,0.022
16,6.895,6.87,0.05,0.05,0.025
10,12.152,12.13,0.05,0.05,0.022
