:BEGIN,,,,,,
工单号,WuxiFATP202009220001,,,,,
开始时间,9/23/2020 19:49,,,,,
编号,1,,,,,
制程, PET to PCBA,,,,,
SN,C0886,,,,,
Config,AJ613-111,,,,,
机台号,1#,,,,,
样品号,1,,,,,
治具号,45,,,,,
穴位号,1,,,,,
测量机台号,OG-C010,,,,,
测量人,W2435,,,,,
FAI22,0.154,0.1,0.3,0.1,0.054,
FAI23,0.383,0.31,0.5,0.21,0.073,
FAI24,0.6252,0.5,0.2,0.2,0.1252,
:END,,,,,,
:BEGIN,,,,,,
工单号,WuxiFATP202009220001,,,,,
开始时间,9/23/2020 19:51,,,,,
编号,2,,,,,
制程, PET to PCBA,,,,,
SN,C08039409EQHYG7B6,,,,,
Config,AJ613-1135,,,,,
机台号,2#,,,,,
样品号,2,,,,,
治具号,46,,,,,
穴位号,2,,,,,
测量机台号,OG-C010,,,,,
测量人,W2435,,,,,
FAI22,0.1538,0.1,0.3,0.1,0.0538,
FAI23,0.3836,0.31,0.5,0.21,0.0736,
FAI24,0.6243,0.5,0.2,0.2,0.1243,
:END,,,,,,
:BEGIN,,,,,,
工单号,WuxiFATP202009220001,,,,,
开始时间,9/23/2020 19:53,,,,,
编号,3,,,,,
制程, PET to PCBA,,,,,
SN,C0803940AZMHYG7BK,,,,,
Config,AJ613-1135,,,,,
机台号,3#,,,,,
样品号,3,,,,,
治具号,47,,,,,
穴位号,3,,,,,
测量机台号,OG-C010,,,,,
测量人,W2435,,,,,
FAI22,1.0116,0.1,0.3,0.1,0.9116,0.6116
FAI23,0.3833,0.31,0.5,0.21,0.0733,
FAI24,0.6247,0.5,0.2,0.2,0.1247,
:END,,,,,,
